NUMBER;CLAS_SIFICATION;DATE_CASE;REF;NOT_COUNTRY;SUBJET;PROD_CAT;TYPE;RISK_DECISION;ACTION_TAKEN;DISTRIBUTION_STAT;PRODUCT;HAZARDS;HAZARDS_CAT;ORIG_COUNTRY;DESTIN_COUNTRY;CONCERN_COUNTRY
4703;information notification for attention;2021-12-16;2021.6936;Romania;unauthorised substance chlorpyrifos-methyl in grapefruits from Turkey;fruits and vegetables;food;undecided;Destruction;Distribution restricted to notifying country;Grapefruit;chlorpyrifos-methyl  unauthorised substance;Pesticide residues;Turkey;Romania;Romania
"4704;information notification for follow-up;2021-12-16;2021.6932;Poland;migration of lead and cadmium from set of dishes from China;food contact materials;food contact material;undecided;Withdrawal from the market;No distribution from notifying country;Set of dishes;cadmium  migration,lead  migration;Heavy metals, 	Migration;China;Austria,Belgium,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Sweden;Poland"
"4705;border rejection notification;2021-12-16;2021.6927;Germany;Aflatoxins in hazelnuts from Azerbaijan, via Slovakia;nuts, nut products and seeds;food;serious;Informing authorities;Product allowed to travel to destination under customs seals;Hazelnuts shelled;Aflatoxin B1  ,aflatoxin total ;Mycotoxins;Azerbaijan;Germany;Germany"
4706;information notification for attention;2021-12-15;2021.6913;Poland;unauthorised substance chlorpyrifos-methyl (0.058 mg/kg - ppm) in tangerines from Turkey;fruits and vegetables;food;undecided;Informing recipient(s);Product (presumably) no longer on the market;Tangerine Dobashi Beni;chlorpyrifos-methyl  unauthorised substance;Pesticide residues;Turkey;Poland;Poland
"4707;information notification for follow-up;2021-12-15;2021.6911;Germany;Migration of primary aromatic amines (o-anisidine) from muffin tins from Turkey;food contact materials;food contact material;undecided;Withdrawal from the market;Distribution to other member countries;Muffin tins;primary aromatic amines  migration;Migration;Turkey;Austria,Belgium,Bulgaria,Germany,Lithuania,Luxembourg;Germany"
"4708;alert notification;2021-12-15;2021.691;Netherlands;Aflatoxine in Millet Couscous;cereals and bakery products;food;serious;Informing consignor;Distribution to other member countries;Sankhal (Millet Couscous);Aflatoxin B1  ,aflatoxin total ;Mycotoxins;Senegal;Belgium,France,Germany,Netherlands,Spain;Netherlands"
"4709;border rejection notification;2021-12-15;2021.6908;Germany;Salmonella Newport, Salmonella Javiana and Salmonella Denver in black pepper from Brazil;herbs and spices;food;serious;Official detention;Product not (yet) placed on the market;Black pepper;Salmonella Javiana ,Salmonella Newport ,Salmonella spp. ;Pathogenic micro-organisms;Brazil;Germany;Germany"
"4710;border rejection notification;2021-12-15;2021.6907;Germany;Salmonella Sandiego and Salmonella Miami in black pepper from Brazil;herbs and spices;food;serious;Official detention;Product not (yet) placed on the market;Black pepper;Salmonella  Sandiego ,Salmonella Miami ;Pathogenic micro-organisms;Brazil;Netherlands;Germany"
"4711;information notification for attention;2021-12-15;2021.6902;Netherlands;Skinless chicken breast contaminated with Salmonella Enteritidis;poultry meat and poultry meat products;food;serious;Informing recipient(s);Product (presumably) no longer on the market;Chicken breast without skin;Salmonella Enteritidis ;Pathogenic micro-organisms;Poland;Belgium,Netherlands,Poland;Netherlands"
"4712;border rejection notification;2021-12-15;2021.6901;Germany;Salmonella Morehead, S. Javiana, S. Braenderup, S. Saintpaul, S. Kiambu and S. Minnesota in black pepper from Brazil;herbs and spices;food;serious;Official detention;Product not (yet) placed on the market;Black pepper;Salmonella Braenderup ,Salmonella Javiana ,Salmonella Kiambu ,Salmonella Minnesota ,Salmonella Morehead ,Salmonella Saintpaul ;Pathogenic micro-organisms;Brazil;Germany;Germany"
"4713;border rejection notification;2021-12-15;2021.69;Germany;Salmonella Morehead and Salmonella Rubislaw in black pepper from Brazil;herbs and spices;food;serious;Official detention;Product not (yet) placed on the market;Black pepper;Salmonella Morehead ,Salmonella Rubislaw ;Pathogenic micro-organisms;Brazil;Germany;Germany"
"4714;information notification for attention;2021-12-15;2021.6895;Italy;Salmonella Enteritidis in fresh poultry meat from Poland;poultry meat and poultry meat products;food;serious;Official detention;Product (presumably) no longer on the market;Carne di pollame refrigerata;Salmonella Enteritidis ;Pathogenic micro-organisms;Poland;Gabon,Hong Kong;Italy"
"4715;alert notification;2021-12-15;2021.6893;Poland;Aflatoxins in peanuts;nuts, nut products and seeds;food;serious;Withdrawal from the market;No distribution from notifying country;Peanuts;Aflatoxin B1  ,aflatoxin total ;Mycotoxins;Argentina,Poland;Netherlands,Poland;Poland"
4716;information notification for attention;2021-12-15;2021.6883;Norway;unauthorised substance chlorpyrifos-methyl in mandarines from Turkey;fruits and vegetables;food;undecided;Reinforced checking;Distribution restricted to notifying country;Mandarins;chlorpyrifos-methyl  unauthorised substance;Pesticide residues;Turkey;Norway;Norway
4717;alert notification;2021-12-14;2021.6876;Belgium;migration of melamine from plastic plates;food contact materials;food contact material;undecided;Recall from consumer;No distribution from notifying country;Melamine plastic plates;melamine  migration;Migration;Taiwan;Belgium;Belgium
4718;information notification for attention;2021-12-14;2021.6873;Italy;Propiconazole in oranges Valencia del Litoral;fruits and vegetables;food;undecided;Informing authorities;Distribution restricted to notifying country;ARANCE VALENCIA DEL LITORAL;propiconazole  ;Pesticide residues;Argentina;Italy;Italy
4719;information notification for attention;2021-12-14;2021.6869;Romania;unauthorised substance chlorpyrifos in grapefruits from Turkey;fruits and vegetables;food;undecided;Destruction;Distribution restricted to notifying country;Grapefruits;chlorpyrifos-methyl  ;Pesticide residues;Turkey;Romania;Romania
"4720;alert notification;2021-12-14;2021.6868;Netherlands;Ethylene oxide in various food supplements;dietetic foods, food supplements and fortified foods;food;serious;Informing recipient(s);Distribution to other member countries;Various food supplements;ethylene oxide  ;Pesticide residues;United Kingdom;Belgium,Netherlands,Suriname;Netherlands"
"4721;information notification for attention;2021-12-14;2021.6867;Poland;Listeria monocytogenes (presence /25g) in chilled sausages from Poland;meat and meat products (other than poultry);food;serious;Reinforced checking;Distribution to non-member countries only;Sausage;Listeria monocytogenes ;Pathogenic micro-organisms;Poland;Poland,United Kingdom;Poland"
"4722;alert notification;2021-12-14;2021.6862;Germany;Unauthorised substance ethylene oxide in Torchi spices from Lebanon, via the Netherlands;herbs and spices;food;serious;Informing recipient(s);Information on distribution not (yet) available;Torchi Spices;ethylene oxide  ;Pesticide residues;Lebanon;Austria,Belgium,Finland,France,Germany,Hungary,Italy,Luxembourg,Netherlands;Germany"
"4723;information notification for attention;2021-12-14;2021.6861;Germany;Increased total Î”9-THC content in herbal tea mixture with hemp leaves from Germany;cocoa and cocoa preparations, coffee and tea;food;serious;Informing recipient(s);Distribution restricted to notifying country;Herbal tea mixture with hemp leaves;tetrahydrocanabinol (THC)  ;Biological contaminants;Germany;Germany;Germany"
"4724;alert notification;2021-12-14;2021.686;Germany;Ethylene oxide in black pepper from Lebanon, via the Netherlands;herbs and spices;food;serious;Informing recipient(s);Distribution to other member countries;Schwarzer Pfeffer ganz - whole black pepper;ethylene oxide  ;Pesticide residues;Lebanon;Belgium,Czech Republic,Finland,France,Germany,Ireland,Lithuania,Luxembourg,Mali,Malta,Sweden,Switzerland;Germany"
"4725;alert notification;2021-12-14;2021.6856;Slovenia;Undeclared milk in corn crackers from Italy;cereals and bakery products;food;serious;Withdrawal from the market;Distribution to other member countries;Corn crackers with legumes;milk ingredient  undeclared;Allergens;Italy;Croatia,Slovenia;Slovenia"
"4726;information notification for attention;2021-12-14;2021.6854;Switzerland;Aflatoxins in rice from Sri Lanka;cereals and bakery products;food;serious;Recall from consumer;Distribution restricted to notifying country;Rice;Aflatoxin B1  ,aflatoxin total ;Mycotoxins;Sri Lanka;Switzerland;Switzerland"
"4727;information notification for attention;2021-12-14;2021.6852;Germany;Oxamyl in beans from Morocco, via Spain;fruits and vegetables;food;serious;No stock left;Product (presumably) no longer on the market;Broad green beans;oxamyl  ;Pesticide residues;Morocco;Germany;Germany"
"4728;alert notification;2021-12-14;2021.6851;Germany;Ethylene oxide in spice preparation from Lebanon, via the Netherlands;herbs and spices;food;serious;Informing recipient(s);Distribution to other member countries;Spice preparation;ethylene oxide  ;Pesticide residues;Lebanon;Austria,Belgium,Bulgaria,Czech Republic,Denmark,Finland,France,Germany,Ireland,Italy,Luxembourg,Malta,Netherlands,Spain,Sweden;Germany"
"4729;information notification for follow-up;2021-12-14;2021.685;Finland;Unauthorised substance matrine in licorice powder;other food product / mixed;food;undecided;Recall from consumer;No distribution to other member countries;Licorice flavourered dates;matrine  unauthorised substance;Pesticide residues;Denmark,France;Denmark,Finland,France,Germany,Norway,South Africa,Sweden;Finland"
"4730;alert notification;2021-12-13;2021.5143;Germany;Labelling deficiencies and undeclared sulphite in dried figs from Greece via Belgium and via Netherlands;fruits and vegetables;food;serious;Withdrawal from the market;Distribution to other member countries;Dried figs;labelling  incorrect;Labelling absent/incomplete/incorrect;Greece;Belgium,France,Germany,Netherlands,Spain;Germany"
4731;alert notification;2021-12-13;2021.6842;Germany;Listeria monocytogenes in pasta from Germany;prepared dishes and snacks;food;serious;Withdrawal from the market;Distribution to other member countries;Nudeln;Listeria monocytogenes ;Pathogenic micro-organisms;Germany;Austria;Germany
"4732;alert notification;2021-12-13;2021.6832;Germany;shigatoxin-producing Escherichia coli (O26 H11 stx, eae+ /25g) in raw milk cheese from France;milk and milk products;food;serious;Informing recipient(s);Distribution to other member countries;Raw milk cheese;Escherichia coli shigatoxin-producing ;Pathogenic micro-organisms;France;Austria,Belgium,France,Germany,Hong Kong,Macao,United Arab Emirates;Germany"
"4733;information notification for attention;2021-12-13;2021.6831;Italy;Mercury above the limits in vacuum packed long fillet of thawed swordfish (Xiphias gladius) from China;fish and fish products;food;serious;No stock left;Product (presumably) no longer on the market;Filoni di pesce spada(Xiphias gladius) // Swordfish long fillet (Xiphias gladius);mercury  ;Heavy metals;Spain;Italy,Spain;Italy"
"4734;alert notification;2021-12-13;2021.683;Italy;mercury (1.6 mg/kg - ppm) in frozen swordfish ((Xiphias gladius) steaks from Spain, with raw material from Namibia;fish and fish products;food;serious;Destruction;No distribution from notifying country, 	Distribution to other member countries;Tranci di Pesce Spada (Xiphias gladius)//Swordfish steaks, 	Swordfish H&G 30-50 (Xiphias gladius);mercury  ;Heavy metals;Namibia,Spain;Italy,Spain;Italy"
"4735;alert notification;2021-12-13;2021.6828;Germany;Exceeding the maximum permissible levels of various plant protection product active substances in grape leaves in brine;fruits and vegetables;food;serious;Official detention;Distribution to other member countries;Grape leaves in brine;pesticide residues  ;Pesticide residues;Egypt;Belgium,Bulgaria,Germany,Netherlands,Romania;Germany"
"4736;alert notification;2021-12-10;2021.6821;Denmark;Too high concentration of the pesticides imazalil og propiconazole i lemons from Argentina;fruits and vegetables;food;serious;Withdrawal from the market;Distribution to other member countries;Fresh lemons;imazalil  ,propiconazole  ;Pesticide residues;Argentina;Denmark,Sweden;Denmark"
"4737;alert notification;2021-12-10;2021.6815;Germany;Ochratoxin A in dried figs from Greece;fruits and vegetables;food;serious;Withdrawal from the market;Distribution to other member countries;Feigen, getrocknet - dried figs;ochratoxin A  ;Mycotoxins;Greece;Czech Republic,Germany;Germany"
"4738;information notification for follow-up;2021-12-10;2021.6814;Spain;Undeclared allergen (mustard) in ground cumin from France  ;herbs and spices;food;not serious;Withdrawal from the market;No distribution from notifying country, 	Distribution to other member countries;Ground cumin;mustard  undeclared;Allergens;France;Spain;Spain"
"4739;alert notification;2021-12-10;2021.6811;Italy;Listeria monocitogenes in  pork products ;meat and meat products (other than poultry);food;serious;Official detention;No distribution from notifying country;URECHI SNACKS - MUSCHI TIGANESC;Listeria monocytogenes ;Pathogenic micro-organisms;Romania;Belgium,France,Germany,Ireland,Italy,Portugal,Spain,United Kingdom;Italy"
"4740;alert notification;2021-12-10;2021.6807;Germany;Delta-9-tetrahydrocannabinol in flavoured wine from Spain;alcoholic beverages;food;serious;Informing authorities;Distribution to other member countries;Flavoured white wine, Flavoured red wine;tetrahydrocanabinol (THC)  ;Biological contaminants;Spain;Germany,Netherlands,United Kingdom;Germany"
4741;information notification for attention;2021-12-10;2021.6805;Denmark;Chlorpyrifos in sapodilla from Thailand;fruits and vegetables;food;undecided;Withdrawal from the market;Product (presumably) no longer on the market;Sapodilla;chlorpyrifos  ;Pesticide residues;Thailand;Denmark;Denmark
"4742;alert notification;2021-12-10;2021.6804;Luxembourg;Fumonisins in maize flour from Portugal;cereals and bakery products;food;serious;Withdrawal from the market;Distribution to other member countries;Maize flour;fumonisins  ;Mycotoxins;Portugal;Belgium,France,Germany,Luxembourg,Switzerland,United Kingdom;Luxembourg"
"4743;alert notification;2021-12-10;2021.6796;Germany;unauthorised substance ethylene oxide (sum of EO and 2-CE expressed as EO: 14 mg/kg - ppm) in ground cinnamon from Vietnam;herbs and spices;food;serious;Detained by operator;Distribution to other member countries;Ground cinnamon;ethylene oxide  ;Pesticide residues;Germany,Vietnam;Austria,Croatia,Czech Republic,France,Germany,Kosovo,Netherlands,Poland,Switzerland;Germany"
4744;information notification for attention;2021-12-10;2021.6792;Lithuania;too high content of sulfites E220 in dried pears from China;fruits and vegetables;food;not serious;Destruction;Distribution restricted to notifying country;Dried pears;E220- sulfur dioxide  too high content;Food additives and flavourings;China;Lithuania;Lithuania
4745;information notification for attention;2021-12-10;2021.679;Spain;Cadmio- Calamar- India/ Cadmium- squid- India;cephalopods and products thereof;food;serious;Informing authorities;Distribution restricted to notifying country;Frozen squid / CALAMAR;cadmium  ;Heavy metals;India;Spain;Spain
"4746;information notification for follow-up;2021-12-10;2021.6787;Czech Republic;Plastic particles in fuet salami from Spain ;meat and meat products (other than poultry);food;not serious;No action taken;Distribution to other member countries, 	Distribution restricted to notifying country;Fuet Salami, 	Salami;particles plastic ;Foreign bodies;Spain;Czech Republic;Czech Republic"
"4747;alert notification;2021-12-10;2021.6783;Belgium;Non-conforming analysis result for Matrine in Blue grapes from Brazil;fruits and vegetables;food;undecided;Public warning - press release;Distribution to other member countries;Raisins bleus sans pépins 500g;matrine  unauthorised substance;Pesticide residues;Brazil;Belgium,Luxembourg,Netherlands;Belgium"
4748;information notification for attention;2021-12-09;2021.6777;Poland;ethephon in yellow pepper from Spain;fruits and vegetables;food;serious;Reinforced checking;Product (presumably) no longer on the market;Yellow pepper;ethephon  ;Pesticide residues;Spain;Poland;Poland
"4749;alert notification;2021-12-09;2021.6774;Slovenia;Hemp oil with with high tetrahydrocannabinol content (THC, THC-A);fats and oils;food;serious;Withdrawal from the market;No distribution to other member countries;Hemp oil;tetrahydrocanabinol (THC)  ;Biological contaminants;Croatia;Croatia,Slovenia;Slovenia"
4750;information notification for follow-up;2021-12-09;2021.6773;Italy;Salmonella spp in processed animal protein for pet food from Greece;pet food;feed;not serious;Physical treatment - heat treatment;No distribution from notifying country;PROCESSED ANIMAL PROTEIN CAT 3 FOR PETFOOD;Salmonella spp. ;Pathogenic micro-organisms;Greece;Italy;Italy
"4751;information notification for follow-up;2021-12-09;2021.6768;Denmark;Chlorpyrifos in curry powder from India, via Germany, via Sweden;herbs and spices;food;undecided;Withdrawal from the market;No distribution from notifying country;Curry powder;chlorpyrifos  ;Pesticide residues;India,United Kingdom;Denmark,Germany,Sweden;Denmark"
"4752;alert notification;2021-12-09;2021.6766;Germany;2-Chloroethanol in food supplement from Germany;dietetic foods, food supplements and fortified foods;food;serious;Informing authorities;Distribution to non-member countries only;Food supplements;2-chloroethanol  ;Pesticide residues;Germany,Vietnam;China,France,Germany;Germany"
4753;information notification for attention;2021-12-09;2021.6765;Poland;Chorpyrifos in red grapefruits from Turkey;fruits and vegetables;food;serious;Destruction;Product (presumably) no longer on the market;Red grapefruits - star ruby;chlorpyrifos  ;Pesticide residues;Turkey;Poland;Poland
"4754;information notification for follow-up;2021-12-09;2021.6764;Italy;Presenza Salmonella spp in coscie di pollo s/o senza pelle congelate;poultry meat and poultry meat products;food;not serious;Detained by operator;No distribution from notifying country;Coscia di pollo s/o s/pelle EU poly block;Salmonella Newport ,Salmonella infantis ;Pathogenic micro-organisms;Poland;Netherlands;Italy"
4755;information notification for attention;2021-12-09;2021.6761;Germany;Anthraquinone in dried cardamom from Vietnam;herbs and spices;food;serious;Recall from consumer;Distribution restricted to notifying country;Dried cardamom / getrockneter Kardamom;anthraquinone  ;Pesticide residues;Vietnam;Germany;Germany
4756;information notification for follow-up;2021-12-09;2021.6759;Latvia;Ruminant DNA in compound feed (fish feed) from Lithuania;compound feeds;feed;not serious;Official detention;Distribution restricted to notifying country;Fish feed;DNA ruminant presence;TSEs;Lithuania;Latvia;Latvia
4757;information notification for attention;2021-12-09;2021.6758;Slovakia;Salmonella Enteritidis in chicken breast from Poland;poultry meat and poultry meat products;food;serious;No action taken;Product (presumably) no longer on the market;Chicken breast;Salmonella Enteritidis ;Pathogenic micro-organisms;Poland;Slovakia;Slovakia
4758;alert notification;2021-12-09;2021.6757;Czech Republic;Presence of celery in sterilized vegetables from Bulgaria;other food product / mixed;food;serious;No stock left;Information on distribution not (yet) available;Slighty spicy vegetable product (sterilized vegetable);celery  undeclared;Allergens;Bulgaria;Czech Republic;Czech Republic
4759;alert notification;2021-12-09;2021.6755;Austria;Listeria monocytogenes in frozen pulled pork from Denmark;prepared dishes and snacks;food;serious;Detained by operator;Distribution to other member countries;Pulled Pork;Listeria monocytogenes ;Pathogenic micro-organisms;Denmark;Austria;Austria
4760;border rejection notification;2021-12-09;2021.675;Greece;Chlorpyifos in lemons from Turkey;fruits and vegetables;food;undecided;Re-dispatch;Product not (yet) placed on the market;Lemons;chlorpyrifos  ;Pesticide residues;Turkey;Greece;Greece
"4761;information notification for attention;2021-12-08;2021.6736;Poland;Salmonella Derby in beef tartare;meat and meat products (other than poultry);food;serious;Withdrawal from the market;Product (presumably) no longer on the market;Beef tartare;Salmonella Derby ;Pathogenic micro-organisms;Poland;Netherlands,Poland,United Kingdom;Poland"
"4762;information notification for attention;2021-12-08;2021.6735;Germany;Aflatoxin B1 in hazelnuts from Turkey;nuts, nut products and seeds;food;serious;Withdrawal from recipient(s);Distribution restricted to notifying country;Hazelnuts whole;Aflatoxin B1  ;Mycotoxins;Turkey;Germany;Germany"
"4763;border rejection notification;2021-12-08;2021.6734;Netherlands;aflatoxins in groundnut kernels from South Africa;nuts, nut products and seeds;food;serious;Return to consignor;Product not (yet) placed on the market;Groundnutkernels;Aflatoxin B1  ,aflatoxin total ;Mycotoxins;South Africa;Netherlands;Netherlands"
"4764;information notification for follow-up;2021-12-08;2021.673;Latvia;Chlorpyrifos methyl in grapefruits from Turkey;fruits and vegetables;food;undecided;Withdrawal from the market;Distribution to other member countries;Fresh grapefruit;chlorpyrifos-methyl  unauthorised substance;Pesticide residues;Turkey;Estonia,Latvia,Lithuania;Latvia"
"4765;border rejection notification;2021-12-08;2021.6729;Belgium;unauthorised substance chlorpyrifos in tea from China, dispatched from the United States;cocoa and cocoa preparations, coffee and tea;food;undecided;Destruction;Product not (yet) placed on the market;Tea;chlorpyrifos  ;Pesticide residues;China;Belgium;Belgium"
4766;information notification for follow-up;2021-12-08;2021.6728;Belgium;Too high content of brilliant blue FCF (E133) in macaron cookies;confectionery;food;not serious;Withdrawal from the market;No distribution from notifying country;Macaron Rusk;colour E 133 - Brilliant Blue FCF too high content;Food additives and flavourings;Netherlands;Belgium;Belgium
"4767;alert notification;2021-12-08;2021.6727;Belgium;Ethylene oxide in extract of Cassia Fistula L.;other food product / mixed;food;serious;Informing authorities;No distribution from notifying country;Plant extract Cassia Fistula L.;ethylene oxide  ;Pesticide residues;France,India;Belgium,China,France,Switzerland;Belgium"
4768;border rejection notification;2021-12-08;2021.6724;Croatia;Chlorpyrifos in raisins from Iran;fruits and vegetables;food;undecided;Return to consignor;No distribution from notifying country;Raisins;chlorpyrifos  ;Pesticide residues;Iran;Croatia;Croatia
4769;alert notification;2021-12-08;2021.672;Belgium;Ambrosia in sorghum from France;feed materials;feed;serious;Re-dispatch;Distribution restricted to notifying country;Sorghum;ragweed (Ambrosia spp.) seeds  too high content;Composition;France;Belgium;Belgium
4770;border rejection notification;2021-12-08;2021.6717;Greece;Aflatoxin B1 in Ground Chilly from India;herbs and spices;food;serious;Destruction;Product not (yet) placed on the market;Ground Chilly from India;Aflatoxin B1  ;Mycotoxins;India;Greece;Greece
"4771;information notification for attention;2021-12-07;2021.6713;Ireland;incorrect labelling (nutritional information mentions 0 g protein) on flour noodles (pancit) from the Philippines, via the United Kingdom;prepared dishes and snacks;food;serious;Withdrawal from the market;Distribution restricted to notifying country;Flour Sticks Pancit Kanton;mislabelled  ;Labelling absent/incomplete/incorrect;Philippines;United Kingdom;Ireland"
"4772;alert notification;2021-12-07;2021.6711;Netherlands;Salmonella typhimurium found in turkey thigh and turkey leg;poultry meat and poultry meat products;food;serious;Informing recipient(s);Distribution to other member countries;Turkey thigh and turkey leg;Salmonella typhimurium DT 104 ;Pathogenic micro-organisms;France;Belgium,Netherlands;Netherlands"
"4773;information notification for follow-up;2021-12-07;2021.671;Denmark;Dimethoate in ajwain seeds from India;nuts, nut products and seeds;food;undecided;Recall from consumer;No distribution from notifying country;Ajwain seeds;dimethoate  ;Pesticide residues;India;Denmark;Denmark"
"4774;alert notification;2021-12-07;2021.6708;Germany;Increased aluminium content in food supplement from Germany ;dietetic foods, food supplements and fortified foods;food;serious;Withdrawal from the market;Distribution to other member countries;Food supplement;aluminium  high content;Composition;Germany;Austria,Germany,Italy,Liechtenstein,Spain,Switzerland;Germany"
"4775;information notification for follow-up;2021-12-07;2021.6706;Germany;Phenoxymethylpenicillin in life yeast (Saccharomyces cerevisiae) from the Republic of North Macedonia, via Italy;feed additives;feed;not serious;Detained by operator;No distribution from notifying country, 	Distribution to other member countries;Feed additive, 	Various compound feeds;antibiotics  presence,phenoxymethylpenicillin  presence;Residues of veterinary medicinal products;Germany,Republic of North Macedonia;Czech Republic,Germany,Poland;Germany"
"4776;information notification for attention;2021-12-07;2021.6705;Denmark;Thiamethoxam and tricyclazole in basmati rice from India;cereals and bakery products;food;undecided;Recall from consumer;No distribution from notifying country;Basmati Rice;thiamethoxam  ,tricyclazole  unauthorised substance;Pesticide residues;India;Denmark;Denmark"
4777;border rejection notification;2021-12-07;2021.6703;Belgium;Chlorpyrifos residues in Yard long beans from Dominican Republic ;fruits and vegetables;food;undecided;Informing authorities;Product not (yet) placed on the market;Yard long beans;chlorpyrifos  ;Pesticide residues;Dominican Republic;Netherlands;Belgium
"4778;alert notification;2021-12-07;2021.6701;Poland;Salmonella Enteritidis in chilled chicken meat from Poland;poultry meat and poultry meat products;food;serious;Informing recipient(s);Product (presumably) no longer on the market, Distribution to other member countries;Chicken meat, 	Geflügel-Drehspieß;Salmonella Enteritidis ;Pathogenic micro-organisms;Germany,Poland;France,Germany,Italy;Poland"
"4779;alert notification;2021-12-07;2021.6698;Italy;Ocratossina A superiore ai limiti di legge in polvere di liquirizia//Ochratoxin A above the legal limits in licorice powder;herbs and spices;food;serious;Withdrawal from the market;Distribution to other member countries;Polvere di Liquirizia//Licorice powder;ochratoxin A  ;Mycotoxins;Italy;Denmark,Italy,Netherlands;Italy"
"4780;alert notification;2021-12-07;2021.6697;Spain;Ooutbreak of human salmonellosis associated with consumption of chicken burger meat from Spain;poultry meat and poultry meat products;food;serious;Informing recipient(s);Distribution to other member countries, 	Distribution restricted to notifying country;Chicken burger meat, 	Kebab;Salmonella  enteritidis ;Pathogenic micro-organisms;Spain;Malta,Portugal,Spain;Spain"
4781;information notification for attention;2021-12-07;2021.6695;Austria;Salmonella Agona in marinated turkey steak from Italy;poultry meat and poultry meat products;food;serious;No action taken;Product (presumably) no longer on the market;Marinated turkey steak;Salmonella Agona ;Pathogenic micro-organisms;Italy;Austria;Austria
"4782;information notification for attention;2021-12-07;2021.6692;Poland;Frozen strawberries from Egypt - Propargite and Chlorothalonil exceeding MRL;fruits and vegetables;food;undecided;Informing recipient(s);Distribution restricted to notifying country;Frozen strawberries;chlorothalonil  ,propargite  ;Pesticide residues;Egypt;Poland;Poland"
"4783;alert notification;2021-12-07;2021.6691;Italy;Salmonella enteritidis e Salmonella infantis in chicken meat ;poultry meat and poultry meat products;food;serious;Seizure;No distribution from notifying country;Chicken meat;Salmonella Enteritidis ,Salmonella infantis ;Pathogenic micro-organisms;Poland;Belgium,France,Germany;Italy"
"4784;alert notification;2021-12-07;2021.6688;France;Saucisson sec - Listeria monocytogenes;meat and meat products (other than poultry);food;serious;Withdrawal from the market;Distribution to other member countries;Saucisson sec / dried sausage;Listeria monocytogenes ;Pathogenic micro-organisms;France;Belgium,France,Germany,Guinea;France"
"4785;information notification for follow-up;2021-12-07;2021.6685;Estonia;Unauthorised pesticide residue chlorpyriphos in grapefruits;fruits and vegetables;food;undecided;Withdrawal from recipient(s);Distribution to other member countries;Grapefruits Star Ruby;chlorpyrifos  ;Pesticide residues;Turkey;Estonia,Latvia,Poland;Estonia"
"4786;information notification for follow-up;2021-12-07;2021.6681;Germany;Coumarin in corn snack from Poland;cereals and bakery products;food;undecided;Withdrawal from the market;Distribution restricted to notifying country, Distribution to other member countries;Cinnamon flavored corn snack, Corn snack;coumarin  too high content;Composition;Poland;Germany;Germany"
4787;border rejection notification;2021-12-07;2021.668;Croatia;High contet of Escherichia coli in cream from Bosnia and Herzegovina;milk and milk products;food;not serious;No action taken;Product forwarded to destination;Cream;Escherichia coli  too high count;Pathogenic micro-organisms;Bosnia and Herzegovina;Sweden;Croatia
"4788;alert notification;2021-12-06;2021.6672;France;Salmonella (detected /25g) in frozen meat preparation from France;poultry meat and poultry meat products;food;serious;Withdrawal from the market;Distribution to other member countries;Frozen raw quail stuffed with foie gras;Salmonella spp. ;Pathogenic micro-organisms;Belgium;Belgium,Spain;France"
4789;information notification for attention;2021-12-06;2021.6671;Romania;unauthorised substance chlorpyrifos in grapefruits from Turkey;fruits and vegetables;food;undecided;Destruction;Distribution restricted to notifying country;Grapefruits;chlorpyrifos  ;Pesticide residues;Turkey;Romania;Romania
"4790;alert notification;2021-12-06;2021.6662;Poland;Salmonella Typhimurium in chilled and frozen chicken meat from Poland;poultry meat and poultry meat products;food;serious;Informing recipient(s);Distribution to other member countries, 	Distribution to non-member countries only;Chicken meat, Battered Chunks (Breast Fillet);Salmonella typhimurium ;Pathogenic micro-organisms;Ireland,Poland;Bulgaria,France,Germany,Greece,Ireland,Netherlands,Northern Ireland,Portugal,Republic of North Macedonia,Spain,United Kingdom;Poland"
4791;information notification for attention;2021-12-06;2021.666;Germany;Listeria monocytogenes in red smear from cheese from Germany;milk and milk products;food;undecided;Withdrawal from the market;Distribution restricted to notifying country;Cheese;Listeria monocytogenes ;Pathogenic micro-organisms;Germany;Germany;Germany
"4792;border rejection notification;2021-12-06;2021.6656;Greece;High content of E 124 (Ponceau 4R, Cochineal Red A) and insufficient labelling in lollipops from Turkey;confectionery;food;not serious;Official detention;Product not (yet) placed on the market;Candy Lollipop;E124 - Ponceau 4R/cochineal red A   too high content,labelling  insufficient;Food additives and flavourings, 	Labelling absent/incomplete/incorrect	;Turkey;Greece;Greece"
4793;border rejection notification;2021-12-06;2021.6654;Greece;Chlorpyifos in apples from Republic of North Macedonia;fruits and vegetables;food;undecided;Destruction;Product not (yet) placed on the market;Apples;chlorpyrifos  ;Pesticide residues;Republic of North Macedonia;Greece;Greece
4794;information notification for attention;2021-12-06;2021.6648;Spain;Elevated E. coli count in clams from Italy ;bivalve molluscs and products thereof;food;serious;No action taken;Product (presumably) no longer on the market;Refrigerated clam (Chamelea gallina);e.coli  ;Pathogenic micro-organisms;Italy;Spain;Spain
